Identifiant du lieu,Ann�e du tournage,Type de tournage,Titre,R�alisateur,Producteur,Localisation de la sc�ne,Code postal,Date de d�but,Date de fin,Coordonn�e en X,Coordonn�e en Y,geo_shape,geo_point_2d,,
2018-162,2018,Long m�trage,ZONE FRANCHE,Monsieur Mohamed Hamidi,ADNP QUAD FILMS,place de l'op�ra,75009,75009,23/02/2018,23/02/2018,2.33187457,48.8710898,"{""type"": ""Point"", ""coordinates"": [2.331874565395843, 48.87108979466138]}",48.8710897947,2.3318745654
2018-171,2018,Long m�trage,Andy,David Weill,My Family,10 rue des frigos,75013,75013,26/02/2018,26/02/2018,2.38012818,48.83080552,"{""type"": ""Point"", ""coordinates"": [2.380128177809305, 48.830805522338956]}",48.8308055223,2.38012817781
2018-392,2018,Long m�trage,MON BEBE,LISA AZUELOS,LOVE IS IN THE AIR,boulevard de reuilly,75012,75012,09/04/2018,11/04/2018,2.39494495,48.83955987,"{""type"": ""Point"", ""coordinates"": [2.394944945452154, 48.83955987008968]}",48.8395598701,2.39494494545
2018-423,2018,Long m�trage,PLAY,Anthony Marciano,Chapter 2,1 rue botzaris,75019,75019,28/03/2018,29/03/2018,2.38101742,48.87647305,"{""type"": ""Point"", ""coordinates"": [2.381017420133907, 48.87647305121453]}",48.8764730512,2.38101742013
2018-342,2018,Long m�trage,Andy,Julien Weill,My Family,296 rue saint-honor�,75001,75001,21/03/2018,22/03/2018,2.33223937,48.86495387,"{""type"": ""Point"", ""coordinates"": [2.332239372356435, 48.864953871979104]}",48.864953872,2.33223937236
2018-349,2018,Long m�trage,MON BEBE,LISA AZUELOS,LOVE IS IN THE AIR,100 rue des dames,75017,75017,28/03/2018,29/03/2018,2.31716791,48.88278806,"{""type"": ""Point"", ""coordinates"": [2.317167911184438, 48.882788057278994]}",48.8827880573,2.31716791118
2018-496,2018,Long m�trage,PLAY,Anthony Marciano,Chapter 2,8 port de montebello,75005,75005,12/04/2018,12/04/2018,2.34949751,48.85202623,"{""type"": ""Point"", ""coordinates"": [2.349497511244357, 48.852026225043865]}",48.852026225,2.34949751124
2018-538,2018,Long m�trage,MON BEBE,LISA AZUELOS,LOVE IS IN THE AIR,quai d'austerlitz,75013,75013,11/04/2018,13/04/2018,2.37195434,48.83921703,"{""type"": ""Point"", ""coordinates"": [2.371954342816574, 48.83921702577017]}",48.8392170258,2.37195434282
2018-656,2018,Long m�trage,LE GENDRE IDEAL,Hector CABELL REYES,KABO FILMS,46 rue du faubourg saint-denis,75010,75010,21/05/2018,21/05/2018,2.35378396,48.87160116,"{""type"": ""Point"", ""coordinates"": [2.353783961250402, 48.871601161330986]}",48.8716011613,2.35378396125
2018-679,2018,Long m�trage,DE PERNAS PRO AR 3,Julia Rezende,SWAN,place dauphine,75001,75001,29/05/2018,29/05/2018,2.34187932,48.85682578,"{""type"": ""Point"", ""coordinates"": [2.341879321027443, 48.85682577800554]}",48.856825778,2.34187932103
2018-682,2018,Long m�trage,Britt-Marie Was Here,Tuva Novotny,Shape Production,21 rue piat,75020,75020,07/06/2018,07/06/2018,2.38506517,48.87152132,"{""type"": ""Point"", ""coordinates"": [2.385065166792471, 48.87152132368081]}",48.8715213237,2.38506516679
2018-468,2018,Long m�trage,PLAY,ANTHONY MARCIANO,CHAPTER 2,4 place du calvaire,75018,75018,09/04/2018,09/04/2018,2.34031211,48.88632706,"{""type"": ""Point"", ""coordinates"": [2.340312105747183, 48.88632706079129]}",48.8863270608,2.34031210575
2019-1734,2019,Long m�trage,TROP D'AMOUR,Frankie WALLACH,EX NIHILO,pont de la tournelle,75005,75005,11/12/2019,11/12/2019,2.3550538899999998,48.85005375,"{""type"": ""Point"", ""coordinates"": [2.355053890401763, 48.850053745571934]}",48.8500537456,2.3550538904
2018-602,2018,Long m�trage,NAMASTE ENGLAND,Vipul Shah,ifilmfrance,9 boulevard de denain,75010,75010,15/05/2018,15/05/2018,2.3543729300000003,48.87966051,"{""type"": ""Point"", ""coordinates"": [2.354372925448811, 48.87966050598249]}",48.879660506,2.35437292545
2018-941,2018,Long m�trage,FAHIM,Pierre-Fran�ois MARTIN-LAVAL,WAITING FOR CINEMA,40 rue marx dormoy,75018,75018,03/08/2018,03/08/2018,2.35987986,48.8871782,"{""type"": ""Point"", ""coordinates"": [2.359879861978804, 48.887178202660934]}",48.8871782027,2.35987986198
2018-946,2018,Long m�trage,C'E TEMPO,Walter VELTRONI,BARBARY FILMS,rue de m�dicis,75006,75006,10/08/2018,10/08/2018,2.33896242,48.84894311,"{""type"": ""Point"", ""coordinates"": [2.338962422850088, 48.84894311004271]}",48.84894311,2.33896242285
2018-953,2018,Long m�trage,It Must Be Heaven,Elia Suleiman,Rectangle Productions,pont des arts,75001,75001,16/08/2018,16/08/2018,2.33754677,48.85838862,"{""type"": ""Point"", ""coordinates"": [2.3375467712017, 48.85838861560237]}",48.8583886156,2.3375467712
2019-399,2019,Long m�trage,UN VOYAGE EN HIVER,Claus DREXEL,MANEKI FILMS,11 rue de turbigo,75001,75001,05/04/2019,05/04/2019,2.3484472,48.86383246,"{""type"": ""Point"", ""coordinates"": [2.348447201316236, 48.863832462041614]}",48.863832462,2.34844720132
2019-749,2019,Long m�trage,THE HUNTING,LEO ZHANG,SWEET DREAMS FILMS,boulevard vincent auriol,75013,75013,29/06/2019,29/06/2019,2.36699899,48.83473468,"{""type"": ""Point"", ""coordinates"": [2.366998988627842, 48.83473468397902]}",48.834734684,2.36699898863
2019-896,2019,Long m�trage,LIBRES,GABRIEL LE BOMIN,VERTIGO PRODUCTIONS,138 rue de grenelle,75007,75007,24/07/2019,25/07/2019,2.31686793,48.85780816,"{""type"": ""Point"", ""coordinates"": [2.316867932631901, 48.85780816143608]}",48.8578081614,2.31686793263
2019-1229,2019,Long m�trage,DES JOURS SAUVAGES,David LANZMANN,SINGLE MAN PRODUCTIONS,7 place des ternes,75017,75017,10/10/2019,11/10/2019,2.29788214,48.87854146,"{""type"": ""Point"", ""coordinates"": [2.297882144597912, 48.878541457822834]}",48.8785414578,2.2978821446
2019-1156,2019,Long m�trage,Les Ann�es 10 - L'infiltr�,Thierry De Peretti,Les Films Velvet,1 rue de bretagne,75003,75003,17/09/2019,18/09/2019,2.36410499,48.86197202,"{""type"": ""Point"", ""coordinates"": [2.364104990633078, 48.861972018677754]}",48.8619720187,2.36410499063
2018-1179,2018,Long m�trage,Voir le Jour,Stanley WOODWARD,LES FILMS DE LA NUIT,rue de louvois,75002,75002,19/10/2018,19/10/2018,2.33729837,48.86826013,"{""type"": ""Point"", ""coordinates"": [2.337298365184116, 48.86826012902182]}",48.868260129,2.33729836518
